Date,Smoothed_Daily_Cases
2020-06-27,471.57142857142856
2020-06-28,486.85714285714283
2020-06-29,492.7142857142857
2020-06-30,497.57142857142856
2020-07-01,511.85714285714283
2020-07-02,524.1428571428571
2020-07-03,537.8571428571429
2020-07-04,549.1428571428571
2020-07-05,543.0
2020-07-06,547.5714285714286
2020-07-07,575.0
2020-07-08,581.8571428571429
2020-07-09,592.8571428571429
2020-07-10,615.8571428571429
2020-07-11,631.5714285714286
2020-07-12,658.4285714285714
2020-07-13,684.4285714285714
2020-07-14,688.2857142857143
2020-07-15,704.5714285714286
2020-07-16,713.2857142857143
2020-07-17,744.1428571428571
2020-07-18,728.4285714285714
2020-07-19,707.5714285714286
2020-07-20,705.1428571428571
2020-07-21,687.4285714285714
2020-07-22,695.8571428571429
2020-07-23,701.8571428571429
2020-07-24,689.4285714285714
2020-07-25,704.1428571428571
2020-07-26,714.0
2020-07-27,699.8571428571429
2020-07-28,703.8571428571429
2020-07-29,709.0
2020-07-30,718.0
2020-07-31,702.4285714285714
2020-08-01,692.0
2020-08-02,692.8571428571429
2020-08-03,697.8571428571429
2020-08-04,703.7142857142857
2020-08-05,696.7142857142857
2020-08-06,680.5714285714286
2020-08-07,697.5714285714286
2020-08-08,696.0
2020-08-09,678.0
2020-08-10,661.8571428571429
2020-08-11,657.1428571428571
2020-08-12,660.2857142857143
2020-08-13,662.4285714285714
2020-08-14,635.2857142857143
2020-08-15,637.2857142857143
2020-08-16,637.7142857142857
2020-08-17,662.4285714285714
2020-08-18,653.1428571428571
2020-08-19,642.5714285714286
2020-08-20,625.0
2020-08-21,621.8571428571429
2020-08-22,619.5714285714286
2020-08-23,617.4285714285714
2020-08-24,595.7142857142857
2020-08-25,609.7142857142857
2020-08-26,594.0
2020-08-27,599.5714285714286
2020-08-28,604.2857142857143
2020-08-29,629.1428571428571
2020-08-30,638.2857142857143
2020-08-31,641.0
2020-09-01,629.8571428571429
2020-09-02,639.2857142857143
2020-09-03,643.5714285714286
2020-09-04,646.8571428571429
2020-09-05,623.7142857142857
2020-09-06,619.1428571428571
2020-09-07,633.5714285714286
2020-09-08,612.5714285714286
2020-09-09,589.5714285714286
2020-09-10,573.7142857142857
2020-09-11,555.7142857142857
2020-09-12,558.2857142857143
2020-09-13,552.8571428571429
2020-09-14,542.1428571428571
2020-09-15,554.4285714285714
2020-09-16,579.8571428571429
2020-09-17,618.5714285714286
